feature,importance
installment,288
loan_amnt,257
int_rate,246
term,96
dti,81
total_bc_limit,77
mo_sin_old_il_acct,75
sub_grade,69
revol_util,68
bc_open_to_buy,68
mo_sin_old_rev_tl_op,66
revol_bal,64
max_bal_bc,62
mths_since_recent_bc,61
total_bal_ex_mort,56
total_il_high_credit_limit,55
total_rev_hi_lim,54
earliest_cr_line,54
bc_util,54
acc_open_past_24mths,53
tot_hi_cred_lim,51
all_util,49
num_rev_tl_bal_gt_0,47
avg_cur_bal,43
pct_tl_nvr_dlq,42
total_bal_il,39
mo_sin_rcnt_rev_tl_op,39
tot_cur_bal,38
mths_since_rcnt_il,37
total_acc,37
num_bc_tl,36
initial_list_status,36
num_rev_accts,36
num_il_tl,34
fico_range_low,34
percent_bc_gt_75,33
il_util,32
open_acc,28
emp_length,27
num_actv_rev_tl,24
open_rv_24m,24
mo_sin_rcnt_tl,23
mort_acc,23
num_tl_op_past_12m,22
inq_last_12m,22
application_type,21
total_cu_tl,20
num_actv_bc_tl,19
num_bc_sats,17
num_op_rev_tl,16
tot_coll_amt,13
open_act_il,13
inq_last_6mths,12
num_sats,12
open_il_24m,10
verification_status,10
open_acc_6m,9
num_accts_ever_120_pd,9
inq_fi,9
open_il_12m,7
open_rv_12m,7
delinq_2yrs,6
tax_liens,6
pub_rec,5
purpose,4
home_ownership,4
num_tl_90g_dpd_24m,4
num_tl_120dpd_2m,3
delinq_amnt,3
pub_rec_bankruptcies,1
acc_now_delinq,0
collections_12_mths_ex_med,0
policy_code,0
fico_range_high,0
chargeoff_within_12_mths,0
num_tl_30dpd,0
debt_settlement_flag,0
